artist,title,musicChart,year/decade
Khalid,OTW,Spotify,2013-2020
Post Malone,Take What You Want,Spotify,2013-2020
Andy Williams,It's the Most Wonderful Time of the Year,Spotify,2013-2020
Charlie Puth,One Call Away,Spotify,2013-2020
Anuel Aa,Sola (Remix),Spotify,2013-2020
Maluma,Borro Cassette,Spotify,2013-2020
Nick Jonas,Close,Spotify,2013-2020
Daddy Yankee & Anuel AA,Adictiva,Spotify,2013-2020
Flo Rida,"I Don't Like It, I Love It",Spotify,2013-2020
Carlos Vives,Robarte un Beso,Spotify,2013-2020
CNCO,Hey DJ,Spotify,2013-2020
Bryson Tiller,Don't,Spotify,2013-2020
Brenda Lee,Rockin' Around The Christmas Tree,Spotify,2013-2020
Daddy Yankee ft Ozuna,La Rompe Corazones,Spotify,2013-2020
Sam Smith,Too Good At Goodbyes - Edit,Spotify,2013-2020
Selena Gomez,Kill Em With Kindness,Spotify,2013-2020
Deorro & Chris Brown,Five More Hours,Spotify,2013-2020
Keala Settle,This Is Me,Spotify,2013-2020
Troye Sivan,YOUTH,Spotify,2013-2020
Piso 21,Me Llamas,Spotify,2013-2020
Alessia Cara,Here,Spotify,2013-2020
Major Lazer,Know No Better,Spotify,2013-2020
Avicii,Hey Brother,Spotify,2013-2020
OMI,Cheerleader (Felix Jaehn Remix),Spotify,2013-2020
Rauw Alejandro & Farruko,Fantasías,Spotify,2013-2020
Alex Sensation,Que Va,Spotify,2013-2020
Justin Bieber,Mistletoe,Spotify,2013-2020
Gucci Mane,I Get The Bag,Spotify,2013-2020
Zac Efron & Zendaya,Rewrite The Stars,Spotify,2013-2020
Famous Dex,PICK IT UP,Spotify,2013-2020
Camila Cabello,Crying in the Club,Spotify,2013-2020
David Guetta,Like I Do,Spotify,2013-2020
Milky Chance,Stolen Dance,Spotify,2013-2020
BLACKPINK,Kill This Love,Spotify,2013-2020
Sia,The Greatest,Spotify,2013-2020
Kendrick Lamar,LOYALTY.,Spotify,2013-2020
Migos,T-Shirt,Spotify,2013-2020
Snakehips,All My Friends,Spotify,2013-2020
Zara Larsson,Ruin My Life,Spotify,2013-2020
Major Lazer,Run Up,Spotify,2013-2020
Sia,The Greatest,Spotify,2013-2020
French Montana,No Stylist,Spotify,2013-2020
DaBaby,BOP,Spotify,2013-2020
Bobby Helms,Jingle Bell Rock,Spotify,2013-2020
Ed Sheeran,Cross Me,Spotify,2013-2020
Sebastian Yatra,Traicionera,Spotify,2013-2020
Daya,Hide Away,Spotify,2013-2020
Justin Timberlake,Say Something,Spotify,2013-2020
Kodak Black,Tunnel Vision,Spotify,2013-2020
Marshmello & Kane Brown,One Thing Right,Spotify,2013-2020
Rihanna,Bitch Better Have My Money,Spotify,2013-2020
Alesso,Heroes (we could be),Spotify,2013-2020
Sia,Thunderclouds,Spotify,2013-2020
Tove Lo,Cool Girl,Spotify,2013-2020
Sam Feldt,Post Malone,Spotify,2013-2020
"Tyler, The Creator",EARFQUAKE,Spotify,2013-2020
Jay Rock,King's Dead,Spotify,2013-2020
Band Aid,Do They Know It's Christmas? - 1984 Version,Spotify,2013-2020
"Migos, Nicki Minaj, Cardi B",MotorSport,Spotify,2013-2020
SHAED,Trampoline,Spotify,2013-2020
Kodak Black,Roll In Peace,Spotify,2013-2020
J Balvin,Sigo Extrañándote,Spotify,2013-2020
Hailee Steinfeld,Most Girls,Spotify,2013-2020
"Alan Walker, Sabrina Carpenter & Farruko",On My Way,Spotify,2013-2020
Adele,When We Were Young,Spotify,2013-2020
Lauv,"fuck, i'm lonely",Spotify,2013-2020
The Chainsmokers,Sick Boy,Spotify,2013-2020
One Direction,Perfect,Spotify,2013-2020
Taylor Swift,Lover,Spotify,2013-2020
Ellie Goulding,Hate Me,Spotify,2013-2020
David Guetta,Dangerous,Spotify,2013-2020
Drake,I'm Upset,Spotify,2013-2020
The Killers,Mr. Brightside,Spotify,2013-2020
Drake,Portland,Spotify,2013-2020
Halsey,Graveyard,Spotify,2013-2020
Billie Eilish,all the good girls go to hell,Spotify,2013-2020
Eminem ft. Rihanna,The Monster,Spotify,2013-2020
Jon Bellion,All Time Low,Spotify,2013-2020
Lil Xan,Betrayed,Spotify,2013-2020
Shakira & Maluma,Clandestino,Spotify,2013-2020
Kina,Get You The Moon,Spotify,2013-2020
JP Cooper,September Song,Spotify,2013-2020
Alessia Cara,Wild Things,Spotify,2013-2020
XXXTENTACION,the remedy for a broken heart,Spotify,2013-2020
Billie Eilish,i love you,Spotify,2013-2020
Luis Fonsi,Imposible,Spotify,2013-2020
Lil Mosey,Noticed,Spotify,2013-2020
Rag'n'Bone Man,Human,Spotify,2013-2020
Cardi B,Money,Spotify,2013-2020
Avicii,The Nights,Spotify,2013-2020
Meghan Trainor,NO,Spotify,2013-2020
Justin Bieber,Company,Spotify,2013-2020
Kanye West,Famous,Spotify,2013-2020
A Boogie Wit da Hoodie,Drowning,Spotify,2013-2020
Marc E. Bassy,You & Me,Spotify,2013-2020
KYLE,Playinwitme,Spotify,2013-2020
Danny Ocean,Dembow,Spotify,2013-2020
Coldplay,Magic,Spotify,2013-2020
"Ariana Grande, The Weeknd",Love Me Harder,Spotify,2013-2020
Ed Sheeran,Sing,Spotify,2013-2020
OneRepublic,Wherever I Go,Spotify,2013-2020
Shawn Mendes,I Know What You Did Last Summer,Spotify,2013-2020
Bazzi,I.F.L.Y.,Spotify,2013-2020
Flume,Say It,Spotify,2013-2020
Travis Scott,STARGAZING,Spotify,2013-2020
Joey Montana,Suena El Dembow,Spotify,2013-2020
Alan Walker,All Falls Down,Spotify,2013-2020
Hailee Steinfeld,Love Myself,Spotify,2013-2020
Chance the Rapper,No Problem,Spotify,2013-2020
Sam Smith,I'm Not The Only One,Spotify,2013-2020
Jason Derulo,Tip Toe,Spotify,2013-2020
Burak Yeter,Tuesday,Spotify,2013-2020
George Ezra,Budapest,Spotify,2013-2020
Sebastian Yatra,Ya No Tiene Novio,Spotify,2013-2020
Zara Larsson,Ain't My Fault,Spotify,2013-2020
Fifth Harmony,All In My Head (Flex),Spotify,2013-2020
Billie Eilish,bellyache,Spotify,2013-2020
Bazzi,Paradise,Spotify,2013-2020
John Legend,Love Me Now,Spotify,2013-2020
YNW Melly,223's,Spotify,2013-2020
Echosmith,Cool Kids,Spotify,2013-2020
Silentó,Watch Me (Whip/Nae Nae),Spotify,2013-2020
Rae Sremmurd,Swang,Spotify,2013-2020
Sean Paul,Mad Love,Spotify,2013-2020
Rob $tone,Chill Bill,Spotify,2013-2020
Disclosure,Latch,Spotify,2013-2020
Bad Bunny,Vete,Spotify,2013-2020
The Weeknd,Party Monster,Spotify,2013-2020
Selena Gomez,Fetish,Spotify,2013-2020
Ariana Grande,imagine,Spotify,2013-2020
Zedd,Happy Now,Spotify,2013-2020
Jason Derulo,Wiggle,Spotify,2013-2020
Robin Schulz,OK,Spotify,2013-2020
Post Malone,Saint-Tropez,Spotify,2013-2020
Andy Grammer,Fresh Eyes,Spotify,2013-2020
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!,Spotify,2013-2020
Jonas Blue,By Your Side,Spotify,2013-2020
Lost Frequencies,Reality,Spotify,2013-2020
Bad Bunny,Amorfoda,Spotify,2013-2020
Playboi Carti,Magnolia,Spotify,2013-2020
Sean Paul,Contra La Pared,Spotify,2013-2020
Nicky Jam,Hasta el Amanecer,Spotify,2013-2020
Robin Schulz,Shed a Light,Spotify,2013-2020
Harry Styles,Watermelon Sugar,Spotify,2013-2020
Sebastian Yatra,Un Año,Spotify,2013-2020
James Bay,Hold Back The River,Spotify,2013-2020
Lewis Capaldi,Bruises,Spotify,2013-2020
Sech,Que Mas Pues - Remix,Spotify,2013-2020
Juice WRLD,Armed And Dangerous,Spotify,2013-2020
Lorde,Green Light,Spotify,2013-2020
MEDUZA,Lose Control,Spotify,2013-2020
"Romeo Santos, Daddy Yankee, Nicky Jam",Bella y Sensual,Spotify,2013-2020
Pitbull,Hey Ma,Spotify,2013-2020
Maluma,Mala Mía,Spotify,2013-2020
Anne-Marie,Alarm,Spotify,2013-2020
Cosculluela,Madura,Spotify,2013-2020
YG,Go Loko,Spotify,2013-2020
Meghan Trainor,Like I'm Gonna Lose You,Spotify,2013-2020
Drake,"Hold On, We're Going Home",Spotify,2013-2020
Post Malone,Ball For Me,Spotify,2013-2020
Liam Payne & Rita Ora,For You,Spotify,2013-2020
John Lennon,Happy Xmas (War Is Over),Spotify,2013-2020
NEIKED,Sexual,Spotify,2013-2020
Cardi B,Bartier Cardi,Spotify,2013-2020
Jason Derulo,Talk Dirty,Spotify,2013-2020
Travis Scott,YOSEMITE,Spotify,2013-2020
Maluma,El Préstamo,Spotify,2013-2020
Sam Smith,I'm Not The Only One,Spotify,2013-2020
Justin Bieber,I'll Show You,Spotify,2013-2020
Little Mix,Woman Like Me,Spotify,2013-2020
Shakira,Perro Fiel,Spotify,2013-2020
Harry Styles,Adore You,Spotify,2013-2020
X Ambassadors,Renegades,Spotify,2013-2020
Daddy Yankee,Dura - Remix,Spotify,2013-2020
Rae Sremmurd,Powerglide,Spotify,2013-2020
J Balvin,Reggaeton,Spotify,2013-2020
Becky G,Bubalu,Spotify,2013-2020
Reik,Amigos Con Derechos,Spotify,2013-2020
Blueface,Thotiana,Spotify,2013-2020
Sigala,Easy Love,Spotify,2013-2020
Enrique Iglesias,EL BAÑO,Spotify,2013-2020
Iggy Azalea,Black Widow ft. Rita Ora,Spotify,2013-2020
Kygo,Happy Now,Spotify,2013-2020
"Reik, J Balvin & Lalo Ebratt",Indeciso,Spotify,2013-2020
Eminem,'Till I Collapse,Spotify,2013-2020
21 Savage,X,Spotify,2013-2020
Lizzo,Good As Hell,Spotify,2013-2020
Ellie Goulding,Burn,Spotify,2013-2020
IAmChino,Ay Mi Dios,Spotify,2013-2020
Martin Garrix,So Far Away,Spotify,2013-2020
Coldplay,The Scientist,Spotify,2013-2020
Zara Larsson,I Would Like,Spotify,2013-2020
Little Mix,Touch,Spotify,2013-2020
Rihanna,Love On The Brain,Spotify,2013-2020
The Weeknd,Heartless,Spotify,2013-2020
J Balvin,Ginza,Spotify,2013-2020
Logic,Everyday,Spotify,2013-2020
Katy Perry,Swish Swish,Spotify,2013-2020
Ariana Grande,Focus,Spotify,2013-2020
"KAROL G, Anuel AA",Culpables,Spotify,2013-2020
Justin Bieber,Yummy,Spotify,2013-2020
Carly Rae Jepsen,I Really Like You,Spotify,2013-2020
Katy Perry,Roar,Spotify,2013-2020
Enrique Iglesias,Bailando,Spotify,2013-2020
Beyoncé,7/11,Spotify,2013-2020
Drake,Signs,Spotify,2013-2020
Bebe Rexha,I Got You,Spotify,2013-2020
Halsey,Bad At Love,Spotify,2013-2020
Cardi B & Bruno Mars,Please Me,Spotify,2013-2020
Little Mix,Shout Out to My Ex,Spotify,2013-2020
XXXTENTACION,BAD!,Spotify,2013-2020
David Guetta & Showtek,Bad,Spotify,2013-2020
Sia,Cheap Thrills,Spotify,2013-2020
Sage The Gemini,Now and Later,Spotify,2013-2020
Lil Uzi Vert,The Way Life Goes,Spotify,2013-2020
Chino & Nacho,Andas En Mi Cabeza,Spotify,2013-2020
Macklemore & Ryan Lewis,Downtown,Spotify,2013-2020
Alan Walker,Alone,Spotify,2013-2020
Ariana Grande,Don’t Call Me Angel (Charlie’s Angels),Spotify,2013-2020
Sech,Si Te Vas,Spotify,2013-2020
Billie Eilish,bad guy,Spotify,2013-2020
Jay-Z & Kanye West,Ni**as In Paris,Spotify,2013-2020
Lady Gaga,The Cure,Spotify,2013-2020
Taylor Swift,...Ready For It?,Spotify,2013-2020
Shakira,Me Enamoré,Spotify,2013-2020
Daddy Yankee,Que Tire Pa Lante,Spotify,2013-2020
Famous Dex,JAPAN,Spotify,2013-2020
Robin Schulz,Headlights,Spotify,2013-2020
Ozuna,Solita,Spotify,2013-2020
Arctic Monkeys,Do I Wanna Know?,Spotify,2013-2020
MC Fioti,Bum Bum Tam Tam,Spotify,2013-2020
Michael Bublé,Holly Jolly Christmas,Spotify,2013-2020
Ed Sheeran,Dive,Spotify,2013-2020
"Dalex, Nicky Jam & Justin Quiles",Cuaderno,Spotify,2013-2020
Nicky Jam,X - Remix,Spotify,2013-2020
Piso 21,Te Amo,Spotify,2013-2020
Selena Gomez,Look At Her Now,Spotify,2013-2020
Becky G,Shower,Spotify,2013-2020
Niall Horan,This Town,Spotify,2013-2020
Years & Years,King,Spotify,2013-2020
Queen,Somebody To Love 2011,Spotify,2013-2020
Tove Lo,Stay High - Habits Remix,Spotify,2013-2020
Lewis Capaldi,Before You Go,Spotify,2013-2020
Bing Crosby,White Christmas,Spotify,2013-2020
AronChupa,I'm an Albatraoz,Spotify,2013-2020
Big Shaq,Man's Not Hot,Spotify,2013-2020
Demi Lovato,Cool for the Summer,Spotify,2013-2020
Post Malone,Paranoid,Spotify,2013-2020
Sheppard,Geronimo,Spotify,2013-2020
José Feliciano,Feliz Navidad,Spotify,2013-2020
Drake,Pop Style,Spotify,2013-2020
Bryson Tiller,Exchange,Spotify,2013-2020
Adele,Water Under the Bridge,Spotify,2013-2020
Myke Towers & Farruko,Si Se Da,Spotify,2013-2020
J Balvin & Willy William,Mi Gente,Spotify,2013-2020
Post Malone,Hollywood's Bleeding,Spotify,2013-2020
Tove Lo,Talking Body,Spotify,2013-2020
Jennifer Lopez,Ain't Your Mama,Spotify,2013-2020
benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",Spotify,2013-2020
G-Eazy & Kehlani,Good Life,Spotify,2013-2020
Sam Smith,Money On My Mind,Spotify,2013-2020
Nevada,The Mack,Spotify,2013-2020
Petit Biscuit,Sunset Lover,Spotify,2013-2020
Post Malone,Enemies,Spotify,2013-2020
Niall Horan,Too Much To Ask,Spotify,2013-2020
Calvin Harris,Rollin,Spotify,2013-2020
Sebastian Yatra,Por Perro,Spotify,2013-2020
Alvaro Soler,La Cintura,Spotify,2013-2020
Fall Out Boy,Centuries,Spotify,2013-2020
Lorde,Team,Spotify,2013-2020
Lil Uzi Vert,Sanguine Paradise,Spotify,2013-2020
Lord Huron,The Night We Met,Spotify,2013-2020
Ruth B.,Lost Boy,Spotify,2013-2020
Camila Cabello,My Oh My,Spotify,2013-2020
The Weeknd,In The Night,Spotify,2013-2020
Khalid,Talk,Spotify,2013-2020
DJ Snake,Turn Down for What,Spotify,2013-2020
Mustard,Ballin',Spotify,2013-2020
DaBaby,VIBEZ,Spotify,2013-2020
Daddy Yankee,Vuelve,Spotify,2013-2020
Ozuna,Unica,Spotify,2013-2020
Meghan Trainor,Lips Are Movin,Spotify,2013-2020
Future,Selfish,Spotify,2013-2020
Rich Music LTD,Quizas,Spotify,2013-2020
Apache 207,Roller,Spotify,2013-2020
CNCO,Reggaetón Lento (Remix),Spotify,2013-2020
Bruno Mars,Versace on the Floor,Spotify,2013-2020
Tiësto,Wasted,Spotify,2013-2020
David Guetta,Lovers on the Sun,Spotify,2013-2020
Lizzo,Good As Hell,Spotify,2013-2020
XXXTENTACION,Hope,Spotify,2013-2020
Taylor Swift,Delicate,Spotify,2013-2020
Daya,"Sit Still, Look Pretty",Spotify,2013-2020
Anuel Aa,Quiere Beber,Spotify,2013-2020
Kanye West,All Mine,Spotify,2013-2020
Wisin,Vacaciones,Spotify,2013-2020
Kesha,Praying,Spotify,2013-2020
Jason Derulo,If It Ain't Love,Spotify,2013-2020
Nicky Jam,Whine Up,Spotify,2013-2020
The Weeknd,Often,Spotify,2013-2020
Logic,Homicide,Spotify,2013-2020
6ix9ine,KIKA,Spotify,2013-2020
Sebastian Yatra,SUTRA,Spotify,2013-2020
Jason Derulo,Trumpets,Spotify,2013-2020
Joji,SLOW DANCING IN THE DARK,Spotify,2013-2020
Jax Jones,Breathe,Spotify,2013-2020
Miguel,Sky Walker,Spotify,2013-2020
Normani,Motivation,Spotify,2013-2020
Calum Scott,Dancing On My Own,Spotify,2013-2020
MKTO,Classic,Spotify,2013-2020
Queen,We Will Rock You,Spotify,2013-2020
Sam Smith,Have Yourself A Merry Little Christmas,Spotify,2013-2020
Young Thug,pick up the phone,Spotify,2013-2020
Nicki Minaj,Bed,Spotify,2013-2020
Big Sean,I Don't Fuck With You,Spotify,2013-2020
Avicii,The Days,Spotify,2013-2020
Liam Payne,Familiar,Spotify,2013-2020
Nicky Jam,Si Tú La Ves,Spotify,2013-2020
Brytiago,Asesina,Spotify,2013-2020
Miley Cyrus,Wrecking Ball,Spotify,2013-2020
Major Lazer,Que Calor,Spotify,2013-2020
OMI,Hula Hoop,Spotify,2013-2020
YNW Melly,Mixed Personalities,Spotify,2013-2020
OneRepublic,Rich Love,Spotify,2013-2020
Tory Lanez,LUV,Spotify,2013-2020
Tinie Tempah,Girls Like,Spotify,2013-2020
Karol G,Créeme,Spotify,2013-2020
Kygo & Rita Ora,Carry On,Spotify,2013-2020
Maroon 5,Wait,Spotify,2013-2020
The Pogues,Fairytale of New York,Spotify,2013-2020
Drake,Back To Back,Spotify,2013-2020
SZA,Love Galore,Spotify,2013-2020
Snakehips,Don't Leave,Spotify,2013-2020
Chris Brown,Ayo,Spotify,2013-2020
Fetty Wap,Again,Spotify,2013-2020
Jeremy Zucker,comethru,Spotify,2013-2020
One Direction,History,Spotify,2013-2020
Manuel Turizo,Esclavo de Tus Besos,Spotify,2013-2020
P!nk,Walk Me Home,Spotify,2013-2020
Aaron Smith,Dancin,Spotify,2013-2020
Hailee Steinfeld & BloodPop®,Capital Letters,Spotify,2013-2020
Drake,Gyalchester,Spotify,2013-2020
Justin Quiles,DJ No Pare,Spotify,2013-2020
Blanco Brown,The Git Up,Spotify,2013-2020
5 Seconds of Summer,Easier,Spotify,2013-2020
Chris Brown,Questions,Spotify,2013-2020
J Balvin,Bobo,Spotify,2013-2020
Juice WRLD,Lean Wit Me,Spotify,2013-2020
Ella Henderson,Ghost,Spotify,2013-2020
ZAYN,Still Got Time,Spotify,2013-2020
Natalie La Rose,Somebody,Spotify,2013-2020
Lunay,Aventura,Spotify,2013-2020
Zay Hilfigerrr,Juju On That Beat (TZ Anthem),Spotify,2013-2020
"Thalía, Natti Natasha",No Me Acuerdo,Spotify,2013-2020
5 Seconds of Summer,Teeth,Spotify,2013-2020
Tyga,Ayy Macarena,Spotify,2013-2020
Rachel Platten,Fight Song,Spotify,2013-2020
Mabel,Mad Love,Spotify,2013-2020
Kendrick Lamar,ELEMENT.,Spotify,2013-2020
Wisin & Yandel,,Spotify,2013-2020
Alex Rose,Toda - Remix,Spotify,2013-2020
Drake,Sneakin’,Spotify,2013-2020
David Guetta,Don't Leave Me Alone,Spotify,2013-2020
Future,Life Is Good,Spotify,2013-2020
R3HAB,All Around The World (La La La),Spotify,2013-2020
Ozuna,Tú Foto,Spotify,2013-2020
DJ Snake,You Know You Like It,Spotify,2013-2020
Sebastian Yatra,Runaway,Spotify,2013-2020
Bad Bunny,Solo de Mi,Spotify,2013-2020
One Direction,Steal My Girl,Spotify,2013-2020
Tiësto,Ritual,Spotify,2013-2020
Billie Eilish,my strange addiction,Spotify,2013-2020
Drake,Energy,Spotify,2013-2020
Diplo,Be Right There,Spotify,2013-2020
Travis Scott,Antidote,Spotify,2013-2020
Joey Montana,Picky,Spotify,2013-2020
ZAYN,LIKE I WOULD,Spotify,2013-2020
Jess Glynne,Hold My Hand,Spotify,2013-2020
Dimitri Vegas & Like Mike,Instagram,Spotify,2013-2020
Kodak Black,Codeine Dreaming,Spotify,2013-2020
Don Toliver,No Idea,Spotify,2013-2020
Dalex,Hola - Remix,Spotify,2013-2020
Kehlani,Nights Like This,Spotify,2013-2020
Dawin,Dessert,Spotify,2013-2020
Lil Mosey,Stuck In A Dream,Spotify,2013-2020
Astrid S,Hurts So Good,Spotify,2013-2020
Jason Derulo,Goodbye,Spotify,2013-2020
Post Malone,Spoil My Night,Spotify,2013-2020
Kanye West,Father Stretch My Hands Pt. 1,Spotify,2013-2020
Camila Cabello,Havana - Remix,Spotify,2013-2020
Elle King,Ex's & Oh's,Spotify,2013-2020
Elvis Presley,Blue Christmas,Spotify,2013-2020
Yandel,Explícale,Spotify,2013-2020
Post Malone,Stay,Spotify,2013-2020
James Arthur,Naked,Spotify,2013-2020
XXXTENTACION,whoa (mind in awe),Spotify,2013-2020
Ed Sheeran,Tenerife Sea,Spotify,2013-2020
Wolfine,Bella - Remix,Spotify,2013-2020
Ant Saunders,Yellow Hearts,Spotify,2013-2020
Young Thug,Hot,Spotify,2013-2020
Kris Kross Amsterdam,Whenever,Spotify,2013-2020
The Chainsmokers,Somebody,Spotify,2013-2020
Ozuna,Baila Baila Baila - Remix,Spotify,2013-2020
Ozuna,Tu Foto,Spotify,2013-2020
Ed Sheeran & Travis Scott,Antisocial,Spotify,2013-2020
blackbear,do re mi,Spotify,2013-2020
Kiesza,Hideaway,Spotify,2013-2020
Nat King Cole,The Christmas Song (Merry Christmas To You),Spotify,2013-2020
Ed Sheeran,What Do I Know?,Spotify,2013-2020
Calboy,Envy Me,Spotify,2013-2020
Luke Christopher,Lot to Learn,Spotify,2013-2020
Beyoncé,Drunk in Love,Spotify,2013-2020
Drake,Know Yourself,Spotify,2013-2020
Don Omar,Te Quiero Pa´Mi,Spotify,2013-2020
Billie Eilish,xanny,Spotify,2013-2020
Kungs,This Girl,Spotify,2013-2020
Jeremih,oui,Spotify,2013-2020
Bad Bunny,NI BIEN NI MAL,Spotify,2013-2020
Myke Towers,Si Se Da - Remix,Spotify,2013-2020
Eminem,Venom - Music From The Motion Picture,Spotify,2013-2020
Fifth Harmony,Down,Spotify,2013-2020
"Lil Baby, Gunna & Drake",Never Recover,Spotify,2013-2020
The Lumineers,Ophelia,Spotify,2013-2020
Miley Cyrus,Mother's Daughter,Spotify,2013-2020
Daddy Yankee,Shaky Shaky,Spotify,2013-2020
Niall Horan,Nice To Meet Ya,Spotify,2013-2020
Gente De Zona,La Gozadera,Spotify,2013-2020
NLE Choppa,Camelot,Spotify,2013-2020
Matoma,Running Out,Spotify,2013-2020
Drake,Mob Ties,Spotify,2013-2020
Ayo & Teo,Rolex,Spotify,2013-2020
J. Cole,KOD,Spotify,2013-2020
Future,Fine China,Spotify,2013-2020
2 Chainz,It's A Vibe,Spotify,2013-2020
King Princess,1950,Spotify,2013-2020
Paul McCartney,Wonderful Christmastime,Spotify,2013-2020
The Script,Superheroes,Spotify,2013-2020
Ozuna,El Farsante,Spotify,2013-2020
DNCE,Toothbrush,Spotify,2013-2020
Ozuna,Dile Que Tu Me Quieres,Spotify,2013-2020
Avicii,Heaven,Spotify,2013-2020
DJ Snake,A Different Way,Spotify,2013-2020
Burl Ives,A Holly Jolly Christmas - Single Version,Spotify,2013-2020
Lady Gaga,Million Reasons,Spotify,2013-2020
Young Thug,Hot (Remix),Spotify,2013-2020
Kygo,Raging,Spotify,2013-2020
A Boogie Wit da Hoodie,Startender,Spotify,2013-2020
PARTYNEXTDOOR,Come and See Me,Spotify,2013-2020
Eminem,The Ringer,Spotify,2013-2020
Kevin Gates,2 Phones,Spotify,2013-2020
Julia Michaels,Heaven,Spotify,2013-2020
Rich The Kid,Splashin,Spotify,2013-2020
J Balvin,Machika,Spotify,2013-2020
Ozuna,Ibiza,Spotify,2013-2020
Lil Skies,Nowadays,Spotify,2013-2020
Lauv,Mean It,Spotify,2013-2020
Demi Lovato,Body Say,Spotify,2013-2020
Halsey,New Americana,Spotify,2013-2020
Macklemore,Good Old Days,Spotify,2013-2020
Sam Smith,Like I Can,Spotify,2013-2020
Chris Rea,Driving Home for Christmas,Spotify,2013-2020
Tyga,SWISH,Spotify,2013-2020
Lil Uzi Vert,Futsal Shuffle 2020,Spotify,2013-2020
Pitbull,Fireball,Spotify,2013-2020
"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines,Spotify,2013-2020
Alan Walker,Sing Me to Sleep,Spotify,2013-2020
Metro Boomin,Space Cadet,Spotify,2013-2020
Kygo,Here for You,Spotify,2013-2020
Kanye West,Follow God,Spotify,2013-2020
6ix9ine,MALA,Spotify,2013-2020
Taylor Swift,ME!,Spotify,2013-2020
Noah Cyrus,Make Me (Cry),Spotify,2013-2020
Lil Pump,Esskeetit,Spotify,2013-2020
Brytiago,Asesina - Remix,Spotify,2013-2020
Lil Uzi Vert,You Was Right,Spotify,2013-2020
Ed Sheeran,New Man,Spotify,2013-2020
Imany,Don't Be So Shy - Filatov & Karas Remix,Spotify,2013-2020
Anuel Aa,Hipócrita,Spotify,2013-2020
Sebastian Yatra,Alguien Robo,Spotify,2013-2020
Ed Sheeran,Shape Of You,chart2000,2010s
Luis Fonsi,Despacito ft. Daddy Yankee,chart2000,2010s
Ed Sheeran,Perfect,chart2000,2010s
Lil Nas X,Old Town Road,chart2000,2010s
Mark Ronson,Uptown Funk,chart2000,2010s
Pharrell Williams,Happy,chart2000,2010s
Camila Cabello,Havana,chart2000,2010s
Maroon 5,Girls Like You,chart2000,2010s
Adele,Rolling In The Deep,chart2000,2010s
Post Malone & Swae Lee,Sunflower,chart2000,2010s
Billie Eilish,Bad Guy,chart2000,2010s
LMFAO,Party Rock Anthem,chart2000,2010s
Sia,Cheap Thrills,chart2000,2010s
The Chainsmokers,Closer,chart2000,2010s
Justin Timberlake,Can't Stop The Feeling!,chart2000,2010s
Gotye,Somebody That I Used To Know,chart2000,2010s
Post Malone,Rockstar,chart2000,2010s
Ed Sheeran,Thinking Out Loud,chart2000,2010s
Marshmello ft. Bastille,Happier,chart2000,2010s
Halsey,Without Me,chart2000,2010s
John Legend,All Of Me,chart2000,2010s
Lady Gaga & Bradley Cooper,Shallow,chart2000,2010s
Panic! At the Disco,High Hopes,chart2000,2010s
Imagine Dragons,Radioactive,chart2000,2010s
Avicii,Wake Me Up,chart2000,2010s
Drake,One Dance,chart2000,2010s
Justin Bieber,Love Yourself,chart2000,2010s
Carly Rae Jepsen,Call Me Maybe,chart2000,2010s
Drake,God's Plan,chart2000,2010s
"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines,chart2000,2010s
Major Lazer,Lean On,chart2000,2010s
OneRepublic,Counting Stars,chart2000,2010s
Ava Max,Sweet But Psycho,chart2000,2010s
Justin Bieber,Sorry,chart2000,2010s
The Chainsmokers,Don't Let Me Down,chart2000,2010s
Adele,Someone Like You,chart2000,2010s
Lewis Capaldi,Someone You Loved,chart2000,2010s
Post Malone,Better Now,chart2000,2010s
Travi$ Scott,Sicko Mode,chart2000,2010s
"Cardi B, Bad Bunny & J Balvin",I Like It,chart2000,2010s
Sia,Chandelier,chart2000,2010s
